数字,答え,問題,選択肢1,選択肢2,選択肢3,選択肢4
82,"OK,Let's STAND UP!",1話はどれ？,ロロノア・ゾロ海に散る,海へ,偽れぬもの,招かれざる客
83,ルフィ IN BLACK,1話はどれ？,1人目,ねる,覚悟,"OK,Let's STAND UP!"
84,ゾンビ,1話はどれ？,誓い,まわれ風車,何ができる,海へ
85,三刀流対六刀流,1話はどれ？,海賊狩りのゾロ登場,死んで,ナミ登場,JUNGLE BLOOD
86,騎士道VS魚人空手,1話はどれ？,海賊団,犬,敗走,ウソ800
87,終わったんだ!!,1話はどれ？,まわれ風車,覚悟,soup,大凶
88,死んで,1話はどれ？,宝物,東一番の悪,己々が路,DARTS
89,交代,1話はどれ？,ルフィ IN BLACK,その男麦わらのルフィ,1人目,三日月
90,何ができる,1話はどれ？,キャプテン・ウソップ登場,アーロンパーク,涙,海賊狩りのゾロ登場
91,DARTS,1話はどれ？,ねる,嵐,ルフィ IN BLACK,万物の霊長
92,幸せ,1話はどれ？,終わったんだ!!,酒場の一件,GREAT!!!,伝説は始まった
93,下へまいります,1話はどれ？,ルフィが死んだ,海図と魚人,恩,追え!!
94,2人目,1話はどれ？,噛み殺した槍,何ができる,宝物,敗走
95,まわれ風車,1話はどれ？,その航路、やめときな,万物の霊長,アーロンパーク,その男麦わらのルフィ
96,東一番の悪,1話はどれ？,夢の一歩,三日月,男ウソップ大冒険,恩
97,三代鬼徹,1話はどれ？,仕事,仕事,罪は罪,パールさん
98,暗雲,1話はどれ？,ゾンビ,嵐前,大凶,2人目
99,ルフィが死んだ,1話はどれ？,真実,ROMANCE DAWN-冒険の夜明け-,三日月,誰が為に鐘が鳴る
100,伝説は始まった,1話はどれ？,酒場の一件,大戦槍,誓い,終わったんだ!!
,,1話はどれ？,あんたが珍獣,ルフィ IN BLACK,三刀流対六刀流,酒場の一件
